,V061112,V061113,V06112,V8005,V6003
521,-,-,3.0,64,-
522,1.0,1.0,1.0,36,-
523,1.0,1.0,1.0,48,-
524,1.0,1.0,1.0,57,-
525,-,-,1.0,49,-
526,1.0,1.0,1.0,47,-
527,1.0,1.0,1.0,26,-
528,-,-,1.0,60,-
529,-,-,3.0,58,-
530,1.0,1.0,1.0,31,-
531,1.0,1.0,1.0,24,-
532,2.0,1.0,1.0,41,-
533,1.0,1.0,1.0,13,2.0
534,-,-,3.0,85,-
535,-,-,3.0,79,-
536,1.0,1.0,1.0,48,-
537,1.0,1.0,1.0,42,-
538,1.0,1.0,1.0,26,-
539,1.0,1.0,1.0,21,-
540,-,-,1.0,44,-
541,-,-,1.0,22,-
542,2.0,1.0,1.0,28,-
543,-,-,3.0,45,-
544,-,-,-,2,7.0
545,-,-,3.0,62,-
546,-,-,3.0,86,-
547,2.0,1.0,1.0,40,-
548,1.0,1.0,1.0,47,-
549,1.0,1.0,1.0,42,-
550,1.0,1.0,1.0,16,2.0
551,1.0,1.0,1.0,45,-
552,1.0,1.0,1.0,46,-
553,1.0,1.0,1.0,11,1.0
554,2.0,1.0,3.0,29,-
555,-,-,3.0,76,-
556,-,-,3.0,55,-
557,-,-,1.0,37,-
558,-,-,1.0,15,1.0
559,-,-,3.0,57,-
560,1.0,1.0,3.0,30,-
561,-,-,3.0,28,-
562,1.0,1.0,3.0,19,-
563,-,-,3.0,81,-
564,-,-,-,5,9.0
565,-,-,3.0,83,-
566,-,-,3.0,50,-
567,-,-,1.0,44,-
568,2.0,1.0,1.0,20,-
569,2.0,1.0,1.0,35,-
570,1.0,1.0,1.0,19,-
571,2.0,1.0,1.0,18,-
572,1.0,1.0,1.0,16,-
573,-,-,-,3,-
574,-,-,3.0,47,-
575,-,-,1.0,55,-
576,-,-,3.0,72,-
577,-,-,3.0,78,-
578,-,-,3.0,77,-
579,1.0,1.0,1.0,52,-
580,1.0,1.0,1.0,54,-
581,1.0,1.0,1.0,30,-
582,1.0,1.0,1.0,21,5.0
583,-,-,1.0,36,-
584,-,-,1.0,33,-
585,1.0,2.0,1.0,17,2.0
586,1.0,2.0,1.0,15,2.0
587,-,-,-,2,-
588,2.0,1.0,1.0,26,-
589,-,-,3.0,48,-
590,-,-,1.0,44,-
591,1.0,1.0,1.0,26,-
592,1.0,1.0,1.0,14,1.0
593,1.0,2.0,1.0,23,-
594,-,-,1.0,41,-
595,2.0,1.0,1.0,39,-
596,2.0,1.0,1.0,20,-
597,2.0,1.0,1.0,17,-
598,1.0,1.0,1.0,12,1.0
599,-,-,3.0,69,-
600,-,-,3.0,64,-
601,1.0,1.0,1.0,62,-
602,1.0,1.0,3.0,61,-
603,-,-,3.0,49,-
604,-,-,1.0,21,-
605,-,-,1.0,39,-
606,-,-,1.0,27,-
607,1.0,2.0,1.0,16,2.0
608,-,-,3.0,46,-
609,-,-,3.0,38,-
610,-,-,1.0,37,-
611,1.0,2.0,3.0,10,1.0
612,1.0,2.0,1.0,35,-
613,1.0,1.0,1.0,34,-
614,1.0,1.0,1.0,15,2.0
615,-,-,-,8,1.0
616,1.0,2.0,1.0,68,-
617,1.0,1.0,1.0,52,-
618,1.0,1.0,1.0,25,-
619,-,-,3.0,20,-
620,1.0,2.0,1.0,30,-
621,-,-,-,8,1.0
622,-,-,-,5,9.0
623,1.0,1.0,1.0,34,-
624,1.0,1.0,1.0,37,-
625,-,-,-,4,7.0
626,-,-,-,0,-
627,-,-,1.0,57,-
628,1.0,2.0,1.0,47,-
629,1.0,1.0,1.0,18,-
630,-,-,1.0,62,-
631,-,-,3.0,52,-
632,-,-,3.0,75,-
633,1.0,2.0,1.0,38,-
634,1.0,2.0,1.0,37,-
635,1.0,1.0,1.0,10,1.0
636,1.0,1.0,1.0,55,-
637,1.0,1.0,1.0,56,-
638,1.0,1.0,1.0,40,-
639,1.0,2.0,1.0,34,-
640,1.0,1.0,1.0,19,-
641,1.0,1.0,1.0,15,2.0
642,-,-,-,9,1.0
643,2.0,1.0,1.0,27,-
644,2.0,1.0,1.0,22,-
645,-,-,3.0,70,-
646,-,-,3.0,65,-
647,2.0,1.0,1.0,22,-
648,-,-,3.0,93,-
649,-,-,3.0,66,-
650,2.0,1.0,1.0,39,-
651,-,-,1.0,56,-
652,-,-,1.0,56,-
653,1.0,1.0,1.0,29,-
654,-,-,1.0,52,-
655,-,-,1.0,52,-
656,1.0,1.0,1.0,24,5.0
657,1.0,1.0,1.0,21,-
658,1.0,2.0,1.0,71,-
659,1.0,1.0,1.0,49,-
660,1.0,1.0,1.0,49,-
661,-,-,1.0,68,-
662,-,-,1.0,65,-
663,-,-,1.0,77,-
664,2.0,2.0,1.0,77,-
665,-,-,3.0,53,-
666,1.0,1.0,1.0,29,-
667,1.0,1.0,1.0,19,5.0
668,1.0,1.0,1.0,19,5.0
669,-,-,3.0,85,-
670,-,-,3.0,83,-
671,1.0,1.0,1.0,34,-
672,1.0,1.0,1.0,26,-
673,-,-,3.0,35,-
674,-,-,1.0,72,-
675,-,-,3.0,73,-
676,-,-,3.0,52,-
677,-,-,3.0,59,-
678,1.0,2.0,1.0,63,-
679,-,-,3.0,64,-
680,1.0,1.0,1.0,73,-
681,2.0,1.0,1.0,47,-
682,1.0,1.0,1.0,24,-
683,1.0,1.0,1.0,20,-
684,-,-,1.0,46,-
685,-,-,1.0,49,-
686,2.0,1.0,1.0,22,5.0
687,2.0,1.0,1.0,52,-
688,-,-,1.0,47,-
689,1.0,2.0,1.0,50,-
690,1.0,2.0,3.0,41,-
691,-,-,3.0,89,-
692,2.0,1.0,1.0,35,-
693,2.0,1.0,1.0,33,-
694,2.0,1.0,3.0,12,1.0
695,2.0,1.0,1.0,67,-
696,-,-,1.0,58,-
697,1.0,1.0,1.0,27,-
698,-,-,3.0,73,-
699,-,-,1.0,52,-
700,2.0,1.0,1.0,52,-
701,1.0,1.0,1.0,22,5.0
702,-,-,1.0,59,-
703,-,-,1.0,51,-
704,-,-,3.0,95,-
705,1.0,1.0,1.0,19,-
706,1.0,1.0,1.0,19,-
707,-,-,3.0,78,-
708,-,-,3.0,76,-
709,2.0,1.0,1.0,49,-
710,1.0,1.0,1.0,45,-
711,1.0,1.0,1.0,23,-
712,1.0,1.0,1.0,20,5.0
713,-,-,1.0,53,-
714,2.0,1.0,1.0,30,-
715,-,-,3.0,14,1.0
716,-,-,1.0,10,1.0
717,-,-,-,2,-
718,1.0,1.0,1.0,29,-
719,1.0,1.0,1.0,29,-
720,2.0,1.0,1.0,33,-
721,2.0,1.0,3.0,13,1.0
722,2.0,1.0,3.0,11,1.0
723,-,-,3.0,80,-
724,-,-,1.0,71,-
725,1.0,2.0,3.0,76,-
726,-,-,1.0,61,-
727,2.0,2.0,1.0,48,-
728,2.0,2.0,1.0,53,-
729,1.0,2.0,1.0,13,1.0
730,1.0,2.0,1.0,13,1.0
731,1.0,1.0,1.0,35,-
732,1.0,1.0,1.0,31,-
733,-,-,-,9,1.0
734,-,-,-,5,9.0
735,-,-,-,0,7.0
736,-,-,1.0,81,-
737,-,-,3.0,89,-
738,1.0,1.0,1.0,57,-
739,-,-,1.0,60,-
740,-,-,1.0,84,-
741,2.0,1.0,1.0,64,-
742,2.0,1.0,1.0,27,-
743,1.0,1.0,1.0,30,-
744,-,-,3.0,10,1.0
745,-,-,-,8,1.0
746,-,-,1.0,32,-
747,-,-,1.0,42,-
748,2.0,1.0,1.0,13,1.0
749,-,-,-,9,1.0
750,-,-,3.0,55,-
751,-,-,3.0,56,-
752,-,-,3.0,54,-
753,-,-,3.0,71,-
754,-,-,3.0,67,-
755,2.0,1.0,1.0,40,-
756,2.0,1.0,1.0,42,-
757,1.0,1.0,1.0,56,-
758,-,-,3.0,78,-
759,1.0,1.0,1.0,34,-
760,1.0,1.0,1.0,33,5.0
761,-,-,-,0,-
762,-,-,1.0,66,-
763,-,-,1.0,62,-
764,2.0,1.0,1.0,47,-
765,-,-,1.0,48,-
766,2.0,1.0,1.0,21,-
767,-,-,3.0,79,-
768,2.0,1.0,1.0,22,-
769,2.0,1.0,1.0,19,-
770,-,-,-,2,-
771,-,-,1.0,61,-
772,2.0,1.0,1.0,56,-
773,-,-,3.0,64,-
774,2.0,1.0,1.0,49,-
775,1.0,1.0,1.0,33,5.0
776,-,-,1.0,58,-
777,-,-,1.0,52,-
778,-,-,1.0,48,-
779,1.0,2.0,1.0,23,5.0
780,2.0,1.0,1.0,65,-
781,2.0,1.0,1.0,23,-
782,1.0,1.0,1.0,53,-
783,1.0,1.0,1.0,44,-
784,1.0,1.0,1.0,43,-
785,2.0,1.0,1.0,62,-
786,2.0,1.0,1.0,51,-
787,1.0,1.0,1.0,56,-
788,-,-,3.0,67,-
789,-,-,1.0,67,-
790,1.0,1.0,1.0,47,-
791,1.0,1.0,1.0,40,-
792,2.0,1.0,1.0,39,-
793,2.0,1.0,1.0,38,-
794,-,-,-,3,7.0
795,-,-,1.0,78,-
796,1.0,1.0,1.0,43,-
797,-,-,1.0,81,-
798,1.0,2.0,3.0,79,-
799,1.0,1.0,1.0,36,-
800,1.0,1.0,1.0,26,5.0
801,1.0,1.0,1.0,23,-
802,-,-,1.0,82,-
803,-,-,1.0,78,-
804,-,-,3.0,89,-
805,1.0,1.0,1.0,27,-
806,1.0,1.0,1.0,27,-
807,-,-,-,5,9.0
808,1.0,1.0,1.0,40,-
809,1.0,1.0,1.0,37,11.0
810,-,-,-,0,-
811,1.0,2.0,1.0,42,-
812,1.0,1.0,1.0,40,-
813,1.0,1.0,1.0,17,2.0
814,1.0,1.0,1.0,14,1.0
815,-,-,3.0,80,-
816,-,-,1.0,49,-
817,-,-,1.0,51,-
818,2.0,1.0,1.0,17,2.0
819,1.0,2.0,3.0,70,-
820,1.0,1.0,1.0,69,-
821,2.0,1.0,1.0,54,-
822,1.0,2.0,3.0,64,-
823,1.0,1.0,1.0,13,1.0
824,1.0,2.0,1.0,52,-
825,1.0,1.0,1.0,24,11.0
826,1.0,1.0,1.0,18,2.0
827,1.0,2.0,1.0,80,-
828,-,-,3.0,76,-
829,-,-,1.0,62,-
830,-,-,3.0,59,-
831,1.0,2.0,1.0,30,-
832,-,-,1.0,61,-
833,1.0,2.0,1.0,58,-
834,1.0,1.0,1.0,34,-
